checkpoint,repo_id,revision,model_id,model_name,score,point_rank,original_score,original_point_rank,substitution_score,pairing_score,constraint_score
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,cohere/command-a,Cohere: Command A,56.977378277153555,24,56.70722846441948,23,66.5570224719101,65.59179775280899,38.78331460674158
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,cohere/command-r-plus-08-2024,Cohere: Command R+ (08-2024),49.530861423220976,27,47.85559925093633,27,58.10578651685393,57.682415730337084,32.80438202247191
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,meta/muse-spark-1.2,Meta: Muse Spark 1.2,63.95949438202248,4,63.75447565543072,4,67.32078651685393,72.36213483146066,52.195561797752816
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,meta/muse-glimmer-30b,Meta: Muse Glimmer 30B,60.68807116104869,16,59.886985018726584,17,65.63196629213483,68.73595505617978,47.69629213483147
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,anthropic/claude-fable-5,Anthropic: Claude Fable 5,62.44288389513108,10,63.35756554307115,6,68.24348314606742,70.90550561797752,48.17966292134831
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,qwen/qwen3.8-2.4t-a95b,Qwen: Qwen3.8 2.4T A95B,61.56940074906367,14,62.08411985018727,9,65.92185393258427,69.05191011235956,49.73443820224719
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,bytedance-seed/seed-2-1-turbo,ByteDance Seed: Seed 2.1 Turbo,60.88041198501872,15,59.72376404494381,18,66.3267415730337,67.37157303370788,48.942921348314606
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,thinkingmachines/inkling,Thinking Machines: Inkling,60.430767790262166,17,59.608314606741565,19,65.76359550561797,67.17471910112359,48.353988764044956
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,z-ai/glm-5.3,Z.ai: GLM-5.3,60.257228464419484,19,60.57327715355805,16,65.02016853932584,69.99606741573034,45.755449438202255
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,openai/gpt-5.6-sol-pro,OpenAI: GPT-5.6 Sol Pro,61.08576779026217,5,64.22983146067416,3,68.37651685393259,67.30713483146069,47.57365168539326
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,openai/gpt-5.6-terra-pro,OpenAI: GPT-5.6 Terra Pro,61.51677902621723,3,63.66822097378277,5,67.12651685393259,67.73955056179776,49.684269662921345
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,openai/gpt-5.6-luna-pro,OpenAI: GPT-5.6 Luna Pro,59.85044943820225,8,62.643857677902616,7,67.26258426966292,65.07280898876404,47.21595505617978
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,meta-llama/llama-4-maverick,Meta: Llama 4 Maverick,55.45142322097377,23,53.65292134831461,26,63.072471910112355,61.457303370786526,41.82449438202247
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,anthropic/claude-opus-5,Claude Opus 5,61.09073033707866,4,62.4999063670412,8,68.66539325842697,68.6205617977528,45.98623595505618
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,59.3561797752809,13,59.521179775280906,20,68.28516853932584,67.6811797752809,42.10219101123596
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview,61.593539325842706,2,64.95162921348314,2,68.98702247191011,67.84938202247191,47.944213483146065
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,google/gemini-3.6-flash,Google: Gemini 3.6 Flash,57.780430711610485,17,61.97865168539326,11,67.73016853932585,62.904550561797755,42.70657303370787
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,x-ai/grok-4.6,SpaceXAI: Grok 4.6,62.327434456928835,1,65.0658052434457,1,68.25415730337079,66.59359550561798,52.134550561797745
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,moonshotai/kimi-k3,MoonshotAI: Kimi K3,60.39601123595505,7,62.05106741573033,10,65.69646067415731,69.71320224719102,45.77837078651685
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,qwen/qwen3.8-max,Qwen: Qwen3.8 Max,59.647209737827716,12,61.502153558052434,13,68.95280898876403,65.21252808988766,44.776292134831465
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,z-ai/glm-5.2,Z.ai: GLM 5.2,55.92052434456928,22,58.45168539325843,21,64.59112359550562,62.38477528089888,40.785674157303376
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,deepseek/deepseek-v4-pro-0813,DeepSeek: DeepSeek V4 Pro 0813,59.84131086142321,9,61.9537265917603,12,66.9385393258427,66.48814606741573,46.097247191011235
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,deepseek/deepseek-v4-flash-0731,DeepSeek: DeepSeek V4 Flash 0731,53.639719101123596,25,55.43290262172285,24,64.00662921348315,60.10022471910113,36.812303370786516
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,minimax/minimax-m3,MiniMax: MiniMax M3,57.933838951310854,16,60.93955056179775,15,67.76331460674157,65.53286516853932,40.50533707865169
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,nvidia/nemotron-3.5-lightning,NVIDIA: Nemotron 3.5 Lightning,56.57147940074906,20,57.393632958801504,22,67.49910112359551,61.77870786516854,40.436629213483144
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,mistralai/mistral-large-2512,Mistral: Mistral Large 3 2512,53.92571161048689,24,55.41541198501873,25,62.24651685393258,61.372640449438215,38.15797752808989
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,tencent/hy3,Tencent: Hy3,59.837490636704125,10,61.48209737827715,14,66.27668539325843,65.38730337078653,47.84848314606741
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,cohere/command-a,Cohere: Command A,52.72829588014981,26,56.70722846441948,23,64.75786516853934,59.68213483146069,33.74488764044944
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,cohere/command-r-plus-08-2024,Cohere: Command R+ (08-2024),47.032865168539324,27,47.85559925093633,27,56.85106741573035,54.01376404494383,30.23376404494382
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,meta/muse-spark-1.2,Meta: Muse Spark 1.2,60.63434456928838,6,63.75447565543072,4,68.36713483146066,68.06707865168539,45.4688202247191
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,meta/muse-glimmer-30b,Meta: Muse Glimmer 30B,56.19367041198501,21,59.886985018726584,17,65.99904494382022,62.56741573033708,40.014550561797755
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,anthropic/claude-fable-5,Anthropic: Claude Fable 5,59.696779026217236,11,63.35756554307115,6,68.65505617977529,67.79859550561798,42.636685393258425
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,qwen/qwen3.8-2.4t-a95b,Qwen: Qwen3.8 2.4T A95B,58.831666666666656,15,62.08411985018727,9,65.8194382022472,66.40674157303371,44.2688202247191
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,bytedance-seed/seed-2-1-turbo,ByteDance Seed: Seed 2.1 Turbo,59.285655430711614,14,59.72376404494381,18,66.85207865168539,63.54539325842697,47.45949438202248
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,thinkingmachines/inkling,Thinking Machines: Inkling,57.717097378277145,18,59.608314606741565,19,65.23252808988764,60.57011235955057,47.34865168539326
core,Kaikaku/epicure-core,d31ebb5af8e92bbaf5cb67381d5006d4ea8368b7,z-ai/glm-5.3,Z.ai: GLM-5.3,57.35756554307117,19,60.57327715355805,16,65.48808988764046,62.65488764044944,43.929719101123595
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,openai/gpt-5.6-sol-pro,OpenAI: GPT-5.6 Sol Pro,59.073146067415735,7,64.22983146067416,3,67.37393258426967,63.50308988764044,46.34241573033708
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,openai/gpt-5.6-terra-pro,OpenAI: GPT-5.6 Terra Pro,59.96234082397004,4,63.66822097378277,5,66.35634831460675,64.85567415730337,48.67500000000001
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,openai/gpt-5.6-luna-pro,OpenAI: GPT-5.6 Luna Pro,58.49176029962547,10,62.643857677902616,7,64.71865168539327,62.15983146067416,48.59679775280899
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,meta-llama/llama-4-maverick,Meta: Llama 4 Maverick,53.490505617977526,23,53.65292134831461,26,61.11466292134831,55.19247191011236,44.16438202247191
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,anthropic/claude-opus-5,Claude Opus 5,60.44303370786517,2,62.4999063670412,8,68.47724719101124,66.0423595505618,46.80949438202247
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,57.81548689138577,13,59.521179775280906,20,66.953202247191,63.42926966292135,43.06398876404495
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview,60.09855805243446,3,64.95162921348314,2,68.02516853932585,64.56168539325843,47.708820224719105
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,google/gemini-3.6-flash,Google: Gemini 3.6 Flash,56.78292134831461,17,61.97865168539326,11,66.60926966292135,57.88584269662922,45.85365168539326
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,x-ai/grok-4.6,SpaceXAI: Grok 4.6,61.275880149812735,1,65.0658052434457,1,67.20471910112359,63.7502808988764,52.872640449438215
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,moonshotai/kimi-k3,MoonshotAI: Kimi K3,58.606479400749066,9,62.05106741573033,10,65.32387640449438,65.42337078651686,45.07219101123596
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,qwen/qwen3.8-max,Qwen: Qwen3.8 Max,59.107734082397,6,61.502153558052434,13,68.67196629213484,62.668707865168535,45.982528089887644
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,z-ai/glm-5.2,Z.ai: GLM 5.2,54.47589887640449,22,58.45168539325843,21,63.289494382022475,59.41943820224719,40.718764044943825
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,deepseek/deepseek-v4-pro-0813,DeepSeek: DeepSeek V4 Pro 0813,57.10808988764045,16,61.9537265917603,12,65.39983146067415,61.93741573033708,43.98702247191011
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,deepseek/deepseek-v4-flash-0731,DeepSeek: DeepSeek V4 Flash 0731,51.97297752808989,25,55.43290262172285,24,62.19865168539326,56.88769662921349,36.832584269662924
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,minimax/minimax-m3,MiniMax: MiniMax M3,56.512584269662916,18,60.93955056179775,15,65.97769662921348,62.43348314606742,41.12657303370787
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,nvidia/nemotron-3.5-lightning,NVIDIA: Nemotron 3.5 Lightning,54.92790262172284,21,57.393632958801504,22,66.50679775280898,57.7338202247191,40.54308988764045
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,mistralai/mistral-large-2512,Mistral: Mistral Large 3 2512,53.13102996254681,24,55.41541198501873,25,60.37365168539326,59.18241573033708,39.83702247191011
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,tencent/hy3,Tencent: Hy3,58.302359550561796,11,61.48209737827715,14,65.39022471910111,61.6682584269663,47.84859550561797
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,cohere/command-a,Cohere: Command A,51.711423220973785,26,56.70722846441948,23,62.85865168539326,57.60971910112359,34.66589887640449
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,cohere/command-r-plus-08-2024,Cohere: Command R+ (08-2024),46.22485018726591,27,47.85559925093633,27,56.09842696629214,50.29342696629213,32.28269662921349
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,meta/muse-spark-1.2,Meta: Muse Spark 1.2,59.76005617977529,5,63.75447565543072,4,66.82595505617978,65.63870786516853,46.81550561797753
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,meta/muse-glimmer-30b,Meta: Muse Glimmer 30B,55.52623595505617,20,59.886985018726584,17,65.28932584269663,58.9464606741573,42.34292134831461
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,anthropic/claude-fable-5,Anthropic: Claude Fable 5,58.90280898876406,8,63.35756554307115,6,67.56977528089888,64.94578651685393,44.19286516853933
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,qwen/qwen3.8-2.4t-a95b,Qwen: Qwen3.8 2.4T A95B,58.183239700374536,12,62.08411985018727,9,65.15983146067416,64.09910112359552,45.290786516853935
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,bytedance-seed/seed-2-1-turbo,ByteDance Seed: Seed 2.1 Turbo,57.25700374531834,14,59.72376404494381,18,64.73842696629215,59.01859550561799,48.013988764044946
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,thinkingmachines/inkling,Thinking Machines: Inkling,57.20303370786517,15,59.608314606741565,19,63.34837078651685,58.491067415730335,49.76966292134831
chem,Kaikaku/epicure-chem,2461ef3fbafab36d2b1111187a3df98721146861,z-ai/glm-5.3,Z.ai: GLM-5.3,56.33129213483145,19,60.57327715355805,16,63.773988764044944,59.395730337078646,45.82415730337079
