left_model_id,right_model_id,shared_valid_tasks,mean_difference,ci_low,ci_high,cohen_dz,sign_flip_p,holm_p,holm_significant,direction
openai/gpt-5.6-terra-pro,minimax/minimax-m3,534,2.728670,0.269099,5.213374,0.09353810,0.0306196938,1,false,left_higher
openai/gpt-5.6-terra-pro,nvidia/nemotron-3.5-lightning,534,6.274588,3.717134,8.895955,0.20470984,1.99998e-05,0.005679943201,true,left_higher
openai/gpt-5.6-terra-pro,mistralai/mistral-large-2512,534,8.252809,5.359486,11.147385,0.24147966,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-terra-pro,tencent/hy3,534,2.186124,-0.290158,4.697931,0.07421971,0.08653913461,1,false,left_higher
openai/gpt-5.6-terra-pro,cohere/command-a,534,6.960993,3.979013,9.965735,0.19552946,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-terra-pro,cohere/command-r-plus-08-2024,534,15.812622,12.548967,19.068200,0.40791628,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-terra-pro,meta/muse-spark-1.2,534,-0.086255,-2.373497,2.157849,-0.00323457,0.9397606024,1,false,right_higher
openai/gpt-5.6-terra-pro,meta/muse-glimmer-30b,534,3.781236,1.254797,6.304692,0.12756319,0.0032599674,0.6813331867,false,left_higher
openai/gpt-5.6-terra-pro,anthropic/claude-fable-5,534,0.310655,-2.154741,2.804758,0.01063848,0.806901931,1,false,left_higher
openai/gpt-5.6-terra-pro,qwen/qwen3.8-2.4t-a95b,534,1.584101,-0.893987,4.112546,0.05366060,0.2157178428,1,false,left_higher
openai/gpt-5.6-terra-pro,bytedance-seed/seed-2-1-turbo,534,3.944457,1.131886,6.728189,0.11912946,0.006199938001,1,false,left_higher
openai/gpt-5.6-terra-pro,thinkingmachines/inkling,534,4.059906,1.286875,6.839273,0.12349168,0.0046599534,0.9413105869,false,left_higher
openai/gpt-5.6-terra-pro,z-ai/glm-5.3,534,3.094944,0.335968,5.854553,0.09515521,0.0294397056,1,false,left_higher
openai/gpt-5.6-luna-pro,meta-llama/llama-4-maverick,534,8.990936,5.845612,12.162792,0.24122550,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-luna-pro,anthropic/claude-opus-5,534,0.143951,-2.208323,2.518676,0.00518677,0.9050609494,1,false,left_higher
openai/gpt-5.6-luna-pro,anthropic/claude-sonnet-5,534,3.122678,0.500363,5.730927,0.10100170,0.0208297917,1,false,left_higher
openai/gpt-5.6-luna-pro,google/gemini-3.1-pro-preview,534,-2.307772,-4.641974,0.016882,-0.08428564,0.05205947941,1,false,right_higher
openai/gpt-5.6-luna-pro,google/gemini-3.6-flash,534,0.665206,-1.915573,3.265188,0.02172644,0.6157838422,1,false,left_higher
openai/gpt-5.6-luna-pro,x-ai/grok-4.6,534,-2.421948,-4.619939,-0.277520,-0.09525500,0.0282297177,1,false,right_higher
openai/gpt-5.6-luna-pro,moonshotai/kimi-k3,534,0.592790,-1.492024,2.693675,0.02370067,0.5844141559,1,false,left_higher
openai/gpt-5.6-luna-pro,qwen/qwen3.8-max,534,1.141704,-1.116565,3.355315,0.04319656,0.3171468285,1,false,left_higher
openai/gpt-5.6-luna-pro,z-ai/glm-5.2,534,4.192172,1.337500,7.030293,0.12442398,0.0040599594,0.8282317177,false,left_higher
openai/gpt-5.6-luna-pro,deepseek/deepseek-v4-pro-0813,534,0.690131,-1.511611,2.883934,0.02678301,0.5405145949,1,false,left_higher
openai/gpt-5.6-luna-pro,deepseek/deepseek-v4-flash-0731,534,7.210955,4.033819,10.380887,0.19238927,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-luna-pro,minimax/minimax-m3,534,1.704307,-0.583363,3.994511,0.06308408,0.1456285437,1,false,left_higher
openai/gpt-5.6-luna-pro,nvidia/nemotron-3.5-lightning,534,5.250225,2.606674,7.924169,0.16765553,5.999940001e-05,0.0159598404,true,left_higher
openai/gpt-5.6-luna-pro,mistralai/mistral-large-2512,534,7.228446,4.367104,10.062311,0.21466273,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-luna-pro,tencent/hy3,534,1.161760,-1.438336,3.757296,0.03820422,0.3790362096,1,false,left_higher
openai/gpt-5.6-luna-pro,cohere/command-a,534,5.936629,3.130658,8.713875,0.17838965,3.99996e-05,0.0109598904,true,left_higher
openai/gpt-5.6-luna-pro,cohere/command-r-plus-08-2024,534,14.788258,11.642829,17.909098,0.39509365,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-luna-pro,meta/muse-spark-1.2,534,-1.110618,-3.382549,1.160568,-0.04169805,0.3366066339,1,false,right_higher
openai/gpt-5.6-luna-pro,meta/muse-glimmer-30b,534,2.756873,0.213003,5.291123,0.09193847,0.03499965,1,false,left_higher
openai/gpt-5.6-luna-pro,anthropic/claude-fable-5,534,-0.713708,-3.222463,1.805893,-0.02399644,0.5794542055,1,false,right_higher
openai/gpt-5.6-luna-pro,qwen/qwen3.8-2.4t-a95b,534,0.559738,-1.962392,3.070553,0.01877174,0.6660733393,1,false,left_higher
openai/gpt-5.6-luna-pro,bytedance-seed/seed-2-1-turbo,534,2.920094,0.257884,5.593944,0.09226206,0.0332896671,1,false,left_higher
openai/gpt-5.6-luna-pro,thinkingmachines/inkling,534,3.035543,0.296693,5.773698,0.09419209,0.0302496975,1,false,left_higher
openai/gpt-5.6-luna-pro,z-ai/glm-5.3,534,2.070581,-0.595979,4.734425,0.06643498,0.1258087419,1,false,left_higher
meta-llama/llama-4-maverick,anthropic/claude-opus-5,534,-8.846985,-11.922955,-5.797704,-0.24364214,9.999900001e-06,0.0035099649,true,right_higher
meta-llama/llama-4-maverick,anthropic/claude-sonnet-5,534,-5.868258,-8.984686,-2.788912,-0.16037563,0.0002499975,0.06199938001,false,right_higher
meta-llama/llama-4-maverick,google/gemini-3.1-pro-preview,534,-11.298708,-14.365507,-8.225081,-0.31184591,9.999900001e-06,0.0035099649,true,right_higher
meta-llama/llama-4-maverick,google/gemini-3.6-flash,534,-8.325730,-11.600913,-5.067884,-0.21621427,9.999900001e-06,0.0035099649,true,right_higher
meta-llama/llama-4-maverick,x-ai/grok-4.6,534,-11.412884,-14.459531,-8.394286,-0.31714151,9.999900001e-06,0.0035099649,true,right_higher
meta-llama/llama-4-maverick,moonshotai/kimi-k3,534,-8.398146,-11.489092,-5.335528,-0.23109199,9.999900001e-06,0.0035099649,true,right_higher
meta-llama/llama-4-maverick,qwen/qwen3.8-max,534,-7.849232,-10.988799,-4.763161,-0.21378949,9.999900001e-06,0.0035099649,true,right_higher
meta-llama/llama-4-maverick,z-ai/glm-5.2,534,-4.798764,-7.894783,-1.708898,-0.13100695,0.0022299777,0.4816751832,false,right_higher
meta-llama/llama-4-maverick,deepseek/deepseek-v4-pro-0813,534,-8.300805,-11.397561,-5.220109,-0.22736902,9.999900001e-06,0.0035099649,true,right_higher
meta-llama/llama-4-maverick,deepseek/deepseek-v4-flash-0731,534,-1.779981,-5.205455,1.586831,-0.04407245,0.3064069359,1,false,right_higher
meta-llama/llama-4-maverick,minimax/minimax-m3,534,-7.286629,-10.447825,-4.132900,-0.19745624,1.99998e-05,0.005679943201,true,right_higher
meta-llama/llama-4-maverick,nvidia/nemotron-3.5-lightning,534,-3.740712,-6.845566,-0.651171,-0.10235321,0.0186198138,1,false,right_higher
meta-llama/llama-4-maverick,mistralai/mistral-large-2512,534,-1.762491,-4.837522,1.299102,-0.04814819,0.2646773532,1,false,right_higher
meta-llama/llama-4-maverick,tencent/hy3,534,-7.829176,-10.922549,-4.743579,-0.21566066,9.999900001e-06,0.0035099649,true,right_higher
meta-llama/llama-4-maverick,cohere/command-a,534,-3.054307,-5.983044,-0.128899,-0.08898816,0.0401095989,1,false,right_higher
meta-llama/llama-4-maverick,cohere/command-r-plus-08-2024,534,5.797322,2.510244,9.054051,0.14901979,0.0007699923001,0.1817181828,false,left_higher
meta-llama/llama-4-maverick,meta/muse-spark-1.2,534,-10.101554,-13.181663,-7.061131,-0.27913717,9.999900001e-06,0.0035099649,true,right_higher
meta-llama/llama-4-maverick,meta/muse-glimmer-30b,534,-6.234064,-9.264259,-3.264370,-0.17666069,4.99995e-05,0.013499865,true,right_higher
meta-llama/llama-4-maverick,anthropic/claude-fable-5,534,-9.704644,-12.787461,-6.622974,-0.26642679,9.999900001e-06,0.0035099649,true,right_higher
meta-llama/llama-4-maverick,qwen/qwen3.8-2.4t-a95b,534,-8.431199,-11.555347,-5.348870,-0.23081976,9.999900001e-06,0.0035099649,true,right_higher
meta-llama/llama-4-maverick,bytedance-seed/seed-2-1-turbo,534,-6.070843,-8.986247,-3.201013,-0.17745760,9.999900001e-05,0.026099739,true,right_higher
meta-llama/llama-4-maverick,thinkingmachines/inkling,534,-5.955393,-8.930547,-3.020628,-0.16964430,6.999930001e-05,0.0185498145,true,right_higher
meta-llama/llama-4-maverick,z-ai/glm-5.3,534,-6.920356,-9.897905,-3.995635,-0.19759294,9.999900001e-06,0.0035099649,true,right_higher
anthropic/claude-opus-5,anthropic/claude-sonnet-5,534,2.978727,0.687296,5.262280,0.11130045,0.0105598944,1,false,left_higher
anthropic/claude-opus-5,google/gemini-3.1-pro-preview,534,-2.451723,-5.022822,0.088986,-0.08177443,0.05963940361,1,false,right_higher
anthropic/claude-opus-5,google/gemini-3.6-flash,534,0.521255,-2.010441,3.016643,0.01748631,0.6883931161,1,false,left_higher
anthropic/claude-opus-5,x-ai/grok-4.6,534,-2.565899,-4.986611,-0.180282,-0.09027562,0.0370896291,1,false,right_higher
anthropic/claude-opus-5,moonshotai/kimi-k3,534,0.448839,-1.789856,2.694312,0.01685136,0.6964830352,1,false,left_higher
anthropic/claude-opus-5,qwen/qwen3.8-max,534,0.997753,-1.460163,3.431525,0.03473999,0.4208757912,1,false,left_higher
anthropic/claude-opus-5,z-ai/glm-5.2,534,4.048221,1.404029,6.688003,0.12895053,0.0031199688,0.6583134169,false,left_higher
anthropic/claude-opus-5,deepseek/deepseek-v4-pro-0813,534,0.546180,-1.877719,2.971246,0.01927018,0.6588734113,1,false,left_higher
anthropic/claude-opus-5,deepseek/deepseek-v4-flash-0731,534,7.067004,4.092413,10.011314,0.20242620,1.99998e-05,0.005679943201,true,left_higher
anthropic/claude-opus-5,minimax/minimax-m3,534,1.560356,-1.099559,4.191497,0.05026987,0.2466075339,1,false,left_higher
anthropic/claude-opus-5,nvidia/nemotron-3.5-lightning,534,5.106273,2.546739,7.671626,0.17058028,9.999900001e-05,0.026099739,true,left_higher
anthropic/claude-opus-5,mistralai/mistral-large-2512,534,7.084494,4.277584,9.864237,0.21573251,9.999900001e-06,0.0035099649,true,left_higher
anthropic/claude-opus-5,tencent/hy3,534,1.017809,-1.623506,3.675988,0.03285707,0.4503054969,1,false,left_higher
anthropic/claude-opus-5,cohere/command-a,534,5.792678,2.997259,8.606811,0.17491373,6.999930001e-05,0.0185498145,true,left_higher
anthropic/claude-opus-5,cohere/command-r-plus-08-2024,534,14.644307,11.505487,17.781466,0.39328396,9.999900001e-06,0.0035099649,true,left_higher
anthropic/claude-opus-5,meta/muse-spark-1.2,534,-1.254569,-3.564306,1.012261,-0.04649916,0.2836171638,1,false,right_higher
anthropic/claude-opus-5,meta/muse-glimmer-30b,534,2.612921,0.014055,5.155757,0.08693738,0.0462095379,1,false,left_higher
anthropic/claude-opus-5,anthropic/claude-fable-5,534,-0.857659,-3.110753,1.373163,-0.03247066,0.4561154388,1,false,right_higher
anthropic/claude-opus-5,qwen/qwen3.8-2.4t-a95b,534,0.415787,-2.095393,2.916963,0.01409753,0.7462625374,1,false,left_higher
anthropic/claude-opus-5,bytedance-seed/seed-2-1-turbo,534,2.776142,0.443479,5.138087,0.10008790,0.0215797842,1,false,left_higher
anthropic/claude-opus-5,thinkingmachines/inkling,534,2.891592,0.171477,5.592476,0.08986204,0.0385696143,1,false,left_higher
anthropic/claude-opus-5,z-ai/glm-5.3,534,1.926629,-0.570069,4.416923,0.06521613,0.1319286807,1,false,left_higher
anthropic/claude-sonnet-5,google/gemini-3.1-pro-preview,534,-5.430449,-8.048933,-2.773431,-0.17276668,0.0001099989,0.0283797162,true,right_higher
anthropic/claude-sonnet-5,google/gemini-3.6-flash,534,-2.457472,-5.026825,0.068969,-0.08068936,0.06306936931,1,false,right_higher
anthropic/claude-sonnet-5,x-ai/grok-4.6,534,-5.544625,-8.118334,-2.984145,-0.18018649,4.99995e-05,0.013499865,true,right_higher
anthropic/claude-sonnet-5,moonshotai/kimi-k3,534,-2.529888,-4.941278,-0.114372,-0.08900860,0.0411695883,1,false,right_higher
anthropic/claude-sonnet-5,qwen/qwen3.8-max,534,-1.980974,-4.651929,0.658637,-0.06329794,0.1449085509,1,false,right_higher
anthropic/claude-sonnet-5,z-ai/glm-5.2,534,1.069494,-1.491038,3.595079,0.03539441,0.4146758532,1,false,left_higher
anthropic/claude-sonnet-5,deepseek/deepseek-v4-pro-0813,534,-2.432547,-5.008951,0.159245,-0.08067254,0.06454935451,1,false,right_higher
anthropic/claude-sonnet-5,deepseek/deepseek-v4-flash-0731,534,4.088277,1.160868,7.016686,0.11814305,0.006779932201,1,false,left_higher
anthropic/claude-sonnet-5,minimax/minimax-m3,534,-1.418371,-4.056251,1.160433,-0.04628667,0.2865471345,1,false,right_higher
anthropic/claude-sonnet-5,nvidia/nemotron-3.5-lightning,534,2.127547,-0.546620,4.783025,0.06758711,0.1199688003,1,false,left_higher
anthropic/claude-sonnet-5,mistralai/mistral-large-2512,534,4.105768,1.368334,6.828558,0.12828344,0.0031799682,0.6677933221,false,left_higher
anthropic/claude-sonnet-5,tencent/hy3,534,-1.960918,-4.660329,0.723016,-0.06154524,0.157098429,1,false,right_higher
anthropic/claude-sonnet-5,cohere/command-a,534,2.813951,0.008670,5.593930,0.08560609,0.0497695023,1,false,left_higher
anthropic/claude-sonnet-5,cohere/command-r-plus-08-2024,534,11.665581,8.603035,14.723160,0.32068497,9.999900001e-06,0.0035099649,true,left_higher
anthropic/claude-sonnet-5,meta/muse-spark-1.2,534,-4.233296,-6.896499,-1.597153,-0.13498448,0.0018699813,0.4095259047,false,right_higher
anthropic/claude-sonnet-5,meta/muse-glimmer-30b,534,-0.365805,-3.007577,2.246752,-0.01179182,0.7859821402,1,false,right_higher
anthropic/claude-sonnet-5,anthropic/claude-fable-5,534,-3.836386,-6.055297,-1.614349,-0.14546177,0.0006699933001,0.1594584054,false,right_higher
anthropic/claude-sonnet-5,qwen/qwen3.8-2.4t-a95b,534,-2.562940,-5.323423,0.189403,-0.07868143,0.07060929391,1,false,right_higher
anthropic/claude-sonnet-5,bytedance-seed/seed-2-1-turbo,534,-0.202584,-2.733533,2.299630,-0.00677367,0.875101249,1,false,right_higher
anthropic/claude-sonnet-5,thinkingmachines/inkling,534,-0.087135,-2.992027,2.778037,-0.00254363,0.95300047,1,false,right_higher
anthropic/claude-sonnet-5,z-ai/glm-5.3,534,-1.052097,-3.721092,1.616703,-0.03316591,0.4425355746,1,false,right_higher
google/gemini-3.1-pro-preview,google/gemini-3.6-flash,534,2.972978,0.309126,5.588134,0.09557645,0.02799972,1,false,left_higher
google/gemini-3.1-pro-preview,x-ai/grok-4.6,534,-0.114176,-2.504894,2.241743,-0.00410073,0.9267807322,1,false,right_higher
google/gemini-3.1-pro-preview,moonshotai/kimi-k3,534,2.900562,0.732489,5.074296,0.11221219,0.009509904901,1,false,left_higher
google/gemini-3.1-pro-preview,qwen/qwen3.8-max,534,3.449476,1.162637,5.749103,0.12680465,0.0033099669,0.6884731153,false,left_higher
google/gemini-3.1-pro-preview,z-ai/glm-5.2,534,6.499944,3.604827,9.388833,0.18920824,2.99997e-05,0.008279917201,true,left_higher
google/gemini-3.1-pro-preview,deepseek/deepseek-v4-pro-0813,534,2.997903,0.702869,5.290994,0.11026281,0.0110198898,1,false,left_higher
google/gemini-3.1-pro-preview,deepseek/deepseek-v4-flash-0731,534,9.518727,6.243160,12.769318,0.24573250,9.999900001e-06,0.0035099649,true,left_higher
google/gemini-3.1-pro-preview,minimax/minimax-m3,534,4.012079,1.469625,6.563386,0.13339341,0.0017499825,0.3867461325,false,left_higher
google/gemini-3.1-pro-preview,nvidia/nemotron-3.5-lightning,534,7.557996,4.822773,10.291398,0.23427410,9.999900001e-06,0.0035099649,true,left_higher
google/gemini-3.1-pro-preview,mistralai/mistral-large-2512,534,9.536217,6.555485,12.498430,0.27111337,9.999900001e-06,0.0035099649,true,left_higher
google/gemini-3.1-pro-preview,tencent/hy3,534,3.469532,0.921935,6.026278,0.11622327,0.007309926901,1,false,left_higher
google/gemini-3.1-pro-preview,cohere/command-a,534,8.244401,5.300830,11.162401,0.23669930,9.999900001e-06,0.0035099649,true,left_higher
google/gemini-3.1-pro-preview,cohere/command-r-plus-08-2024,534,17.096030,13.765728,20.422073,0.43122981,9.999900001e-06,0.0035099649,true,left_higher
google/gemini-3.1-pro-preview,meta/muse-spark-1.2,534,1.197154,-1.144928,3.513995,0.04377429,0.3157168428,1,false,left_higher
google/gemini-3.1-pro-preview,meta/muse-glimmer-30b,534,5.064644,2.488889,7.603139,0.16808916,0.0001199988,0.0308396916,true,left_higher
google/gemini-3.1-pro-preview,anthropic/claude-fable-5,534,1.594064,-0.889293,4.096809,0.05411116,0.2125678743,1,false,left_higher
google/gemini-3.1-pro-preview,qwen/qwen3.8-2.4t-a95b,534,2.867509,0.606911,5.130118,0.10713726,0.0129698703,1,false,left_higher
google/gemini-3.1-pro-preview,bytedance-seed/seed-2-1-turbo,534,5.227865,2.437788,8.001950,0.16102266,0.0002299977,0.05726942731,false,left_higher
google/gemini-3.1-pro-preview,thinkingmachines/inkling,534,5.343315,2.604097,8.102762,0.16481792,0.0001699983,0.0428395716,true,left_higher
google/gemini-3.1-pro-preview,z-ai/glm-5.3,534,4.378352,1.640148,7.138462,0.13484166,0.0018099819,0.398196018,false,left_higher
google/gemini-3.6-flash,x-ai/grok-4.6,534,-3.087154,-5.845005,-0.300965,-0.09362359,0.03099969,1,false,right_higher
google/gemini-3.6-flash,moonshotai/kimi-k3,534,-0.072416,-2.682170,2.526381,-0.00232444,0.9583904161,1,false,right_higher
google/gemini-3.6-flash,qwen/qwen3.8-max,534,0.476498,-2.207923,3.121600,0.01515663,0.7237827622,1,false,left_higher
google/gemini-3.6-flash,z-ai/glm-5.2,534,3.526966,0.845135,6.208842,0.11046867,0.0106798932,1,false,left_higher
google/gemini-3.6-flash,deepseek/deepseek-v4-pro-0813,534,0.024925,-2.690923,2.746064,0.00077452,0.985900141,1,false,left_higher
google/gemini-3.6-flash,deepseek/deepseek-v4-flash-0731,534,6.545749,3.768374,9.341924,0.19867273,1.99998e-05,0.005679943201,true,left_higher
google/gemini-3.6-flash,minimax/minimax-m3,534,1.039101,-1.691506,3.765842,0.03204736,0.4579654203,1,false,left_higher
google/gemini-3.6-flash,nvidia/nemotron-3.5-lightning,534,4.585019,1.877768,7.294854,0.14315065,0.0010499895,0.2425475745,false,left_higher
google/gemini-3.6-flash,mistralai/mistral-large-2512,534,6.563240,3.915565,9.220672,0.20731005,1.99998e-05,0.005679943201,true,left_higher
google/gemini-3.6-flash,tencent/hy3,534,0.496554,-2.384579,3.370855,0.01462564,0.7382926171,1,false,left_higher
google/gemini-3.6-flash,cohere/command-a,534,5.271423,2.450828,8.098813,0.15646860,0.0003499965,0.08434915651,false,left_higher
google/gemini-3.6-flash,cohere/command-r-plus-08-2024,534,14.123052,10.759679,17.450306,0.35614059,9.999900001e-06,0.0035099649,true,left_higher
google/gemini-3.6-flash,meta/muse-spark-1.2,534,-1.775824,-4.272016,0.718211,-0.06031133,0.162698373,1,false,right_higher
google/gemini-3.6-flash,meta/muse-glimmer-30b,534,2.091667,-0.757798,4.909867,0.06270236,0.1478685213,1,false,left_higher
google/gemini-3.6-flash,anthropic/claude-fable-5,534,-1.378914,-4.001182,1.254934,-0.04444932,0.3049269507,1,false,right_higher
google/gemini-3.6-flash,qwen/qwen3.8-2.4t-a95b,534,-0.105468,-2.804355,2.589203,-0.00331857,0.9381106189,1,false,right_higher
google/gemini-3.6-flash,bytedance-seed/seed-2-1-turbo,534,2.254888,-0.225426,4.756071,0.07653687,0.07767922321,1,false,left_higher
google/gemini-3.6-flash,thinkingmachines/inkling,534,2.370337,-0.231527,4.971893,0.07662957,0.07646923531,1,false,left_higher
google/gemini-3.6-flash,z-ai/glm-5.3,534,1.405375,-1.478360,4.283945,0.04123961,0.3416065839,1,false,left_higher
x-ai/grok-4.6,moonshotai/kimi-k3,534,3.014738,0.770097,5.289760,0.11034418,0.0107298927,1,false,left_higher
x-ai/grok-4.6,qwen/qwen3.8-max,534,3.563652,1.223782,5.919102,0.12808972,0.0028899711,0.6163138369,false,left_higher
x-ai/grok-4.6,z-ai/glm-5.2,534,6.614120,3.729260,9.509537,0.19201089,1.99998e-05,0.005679943201,true,left_higher
x-ai/grok-4.6,deepseek/deepseek-v4-pro-0813,534,3.112079,0.850580,5.393381,0.11541381,0.007379926201,1,false,left_higher
x-ai/grok-4.6,deepseek/deepseek-v4-flash-0731,534,9.632903,6.424470,12.843037,0.24964430,9.999900001e-06,0.0035099649,true,left_higher
x-ai/grok-4.6,minimax/minimax-m3,534,4.126255,1.716282,6.554788,0.14229282,0.0009499905001,0.2213477865,false,left_higher
x-ai/grok-4.6,nvidia/nemotron-3.5-lightning,534,7.672172,5.027579,10.334822,0.24114620,9.999900001e-06,0.0035099649,true,left_higher
x-ai/grok-4.6,mistralai/mistral-large-2512,534,9.650393,6.701901,12.542101,0.27701599,9.999900001e-06,0.0035099649,true,left_higher
x-ai/grok-4.6,tencent/hy3,534,3.583708,1.142222,6.032223,0.12429431,0.0037499625,0.7687423126,false,left_higher
x-ai/grok-4.6,cohere/command-a,534,8.358577,5.482558,11.214691,0.24347397,9.999900001e-06,0.0035099649,true,left_higher
x-ai/grok-4.6,cohere/command-r-plus-08-2024,534,17.210206,13.973957,20.438931,0.44322967,9.999900001e-06,0.0035099649,true,left_higher
